gene_symbol,phase_adrg,phase_aort,phase_bfat,phase_bstm,phase_cere,phase_hart,phase_hypo,phase_kdny,phase_livr,phase_lung,phase_musc,phase_wfat
Slc25a21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
Slc35e1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,15,NULL,NULL
Slc5a12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL
Slco5a1,NULL,NULL,NULL,NULL,NULL,14,NULL,NULL,NULL,NULL,NULL,NULL
Snap47,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,16,NULL,NULL
Snx29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,22,NULL,NULL,NULL
Sobp,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL
Sp100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
Spata24,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,7,NULL,NULL
Spryd3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,7,NULL,NULL
Srms,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL,NULL,NULL
Strc,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL,NULL,NULL
Zc3h12d,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,4,NULL,NULL
Zcchc24,NULL,NULL,NULL,NULL,16,NULL,NULL,NULL,NULL,13,NULL,NULL
Zfp111,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL
Zfp185,22,23,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Zfp189,NULL,NULL,NULL,NULL,NULL,16,NULL,NULL,NULL,NULL,NULL,NULL
Zfp212,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL
Zfp27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL,NULL,NULL,NULL
Zfp334,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,16,NULL,NULL
Zfp367,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL
Zfp704,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,NULL,NULL,NULL,NULL
Zfp810,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL
Zmat1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL
Zscan20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL
Lrrc27,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL
Lrrn4,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL
Lrrtm2,NULL,NULL,NULL,NULL,17,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Lyrm1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL
Mfhas1,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL,17,13,NULL,NULL
Mfsd1,4,NULL,NULL,NULL,NULL,6,NULL,6,NULL,NULL,NULL,NULL
Midn,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,5,NULL,NULL,NULL
Mif4gd,NULL,1,NULL,NULL,NULL,NULL,NULL,23,21,22,0,20
Mlkl,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL
Mon1a,NULL,NULL,NULL,NULL,NULL,16,NULL,NULL,NULL,NULL,NULL,NULL
Morc4,NULL,NULL,23,NULL,NULL,NULL,NULL,NULL,NULL,21,NULL,23
Morn4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL
Myo7b,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL
Oplah,NULL,NULL,11,NULL,NULL,NULL,NULL,14,NULL,13,NULL,NULL
Ostc,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19,NULL,NULL,NULL
Otud6b,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14,NULL,NULL,NULL
Paip2b,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL
Paqr4,NULL,NULL,NULL,NULL,NULL,19,NULL,NULL,NULL,15,NULL,NULL
Paqr5,NULL,NULL,NULL,14,13,NULL,13,NULL,NULL,NULL,NULL,NULL
Pcp4l1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL,NULL
Pgls,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19,NULL,NULL,NULL
Pi15,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL
Pigy,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,23,NULL,NULL,NULL
Pigz,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL
Plekha8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14,NULL,NULL,NULL
Plekhg6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10
Ppapdc3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL
Pptc7,NULL,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL,NULL,NULL,NULL
Prodh2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL
Pus7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL,NULL
Pusl1,NULL,7,NULL,NULL,9,NULL,NULL,9,NULL,8,NULL,8
Pyroxd2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,NULL,NULL
Ralgapa2,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL,10,13,NULL,NULL
Nxt2,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,3,17,NULL,NULL
Odf3b,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,7,NULL,NULL
Trmt5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL
Tsr2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL
Ttc13,NULL,NULL,NULL,NULL,NULL,NULL,7,21,NULL,NULL,NULL,NULL
Tysnd1,NULL,6,7,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL,NULL
Ube2f,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16,NULL,NULL,NULL
Uhrf1bp1l,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,14
Urb2,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL
Uroc1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL
Vgll3,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,23
Wdr41,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL
Wdr85,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL,NULL
Wdr89,NULL,NULL,NULL,NULL,18,NULL,NULL,NULL,21,NULL,NULL,NULL
Yipf2,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL
Zbtb10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL
Igsf6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL
Iqck,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Josd2,NULL,NULL,NULL,NULL,22,17,NULL,NULL,22,NULL,NULL,NULL
Kbtbd2,NULL,NULL,NULL,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Klhl21,8,10,NULL,NULL,NULL,17,NULL,NULL,8,12,NULL,10
Lgals12,NULL,NULL,17,NULL,NULL,NULL,NULL,17,NULL,NULL,NULL,NULL
Inca1,NULL,8,10,NULL,NULL,NULL,8,10,3,NULL,NULL,NULL
Insl5,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL,NULL,NULL
Ism1,17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Kcnj13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL
Krba1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL,NULL
Lass4,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,9,NULL,NULL
Ldlrad3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL
Lin37,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Lin54,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14,NULL,NULL
Osgin2,21,NULL,NULL,NULL,NULL,NULL,NULL,22,17,NULL,NULL,2
Pamr1,NULL,NULL,22,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL
Parp16,NULL,NULL,17,NULL,NULL,NULL,NULL,NULL,20,NULL,NULL,20
Pde9a,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL,22,NULL,NULL,NULL
Phf19,NULL,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Sh3tc1,NULL,NULL,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Sidt1,NULL,NULL,NULL,NULL,16,NULL,NULL,NULL,NULL,5,22,NULL
Slc25a40,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Slc25a46,21,NULL,NULL,NULL,NULL,NULL,NULL,23,8,NULL,NULL,NULL
Slc25a48,NULL,NULL,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Slc26a11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL
Slc35a5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14,NULL,NULL
Slc37a1,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL,NULL,NULL,NULL
Slc38a6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9
Slc41a1,NULL,7,NULL,NULL,NULL,12,NULL,9,NULL,9,NULL,9
Slc44a5,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Slc45a4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL
Slc46a3,NULL,16,17,18,NULL,16,NULL,14,16,13,17,16
Slfn1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL
Smcr8,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL,NULL,NULL,NULL,NULL
Spryd4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL
Rftn2,22,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,1,NULL,23
Rhbdl3,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL,NULL,NULL,NULL,23
Rnf207,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL,NULL,NULL
Rptn,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL
Rtdr1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL
Rxfp4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL,NULL
S100pbp,NULL,NULL,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Scrn2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL
Sgpp2,NULL,NULL,NULL,NULL,18,NULL,NULL,NULL,NULL,14,NULL,NULL
Syt14,20,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL,11,NULL,NULL
Tbc1d23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6
Tbc1d24,NULL,NULL,NULL,NULL,NULL,22,9,NULL,12,NULL,NULL,NULL
Tbc1d2b,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,12,NULL,NULL
Tex9,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL
Tfeb,NULL,13,NULL,NULL,NULL,NULL,NULL,15,NULL,14,NULL,NULL
Thnsl1,19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Tm2d2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,NULL,NULL,NULL,NULL
Tm6sf2,NULL,NULL,NULL,20,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL
Tm9sf1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,NULL
Tmco7,NULL,NULL,NULL,23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Tmem107,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL
Tmem141,NULL,NULL,8,7,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL
Tmem14a,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL
Tmem160,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,11,NULL,NULL
Tmem170,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,18,NULL,NULL
Tmem177,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL
Tmem178,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,NULL
Tmem19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,23,NULL,NULL,NULL
Tmem194,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL
Tmem214,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,17,13,NULL,NULL
Tmem41a,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL,NULL
Tmem56,NULL,NULL,5,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL,NULL
Tmem63b,NULL,NULL,12,NULL,NULL,NULL,NULL,10,NULL,10,NULL,NULL
Top1mt,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
Trappc2l,NULL,6,NULL,NULL,8,NULL,NULL,11,NULL,NULL,NULL,NULL
Trim41,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,17,NULL,NULL,NULL
Lrrc28,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14,NULL,NULL,NULL
Lrrc57,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,14,NULL,NULL
Lrrc58,20,20,21,NULL,NULL,18,NULL,14,19,NULL,NULL,NULL
Lsm12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL,NULL
Lysmd2,NULL,NULL,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Micalcl,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,22,NULL,NULL,NULL
Ms4a8a,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL
Mtfmt,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL
Mustn1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13,1,7,NULL,NULL
Myo19,10,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,NULL
Myo1h,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,NULL,NULL
Myo3b,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL,NULL,NULL
Mzt1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL
Zc3h12c,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13,NULL,NULL
Zdhhc18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL
Zdhhc23,NULL,12,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL
Zer1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL
Zfp39,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL
Zfp449,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,23,NULL,NULL,NULL
Zfp568,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL
Zfp629,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Zfp672,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19,NULL,NULL,NULL,NULL
Zfp708,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL
Zfp740,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
Zfp867,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL
Zpbp2,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Ttc9,NULL,NULL,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Txndc2,19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Ubfd1,NULL,NULL,NULL,NULL,23,NULL,NULL,21,NULL,NULL,NULL,NULL
Uhrf1bp1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14
Usp49,NULL,6,5,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL
Vamp5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL,NULL
Vwce,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,NULL
Wdr81,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,10,NULL,9
Wdsub1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL
Wipf3,NULL,NULL,NULL,NULL,NULL,14,NULL,NULL,8,14,13,NULL
Xrcc6bp1,NULL,NULL,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Yif1b,NULL,NULL,NULL,9,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL
Zbtb41,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL,NULL
Prelid2,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Prrg4,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Pyroxd1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,3,NULL,NULL,NULL
Rab39,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL,NULL,NULL,NULL,NULL
Nbeal2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,19,NULL,NULL,NULL
Necab1,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,1,NULL,NULL,NULL
Nhlrc2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13,11,NULL,NULL
Ninj2,NULL,NULL,NULL,6,8,NULL,7,NULL,NULL,NULL,NULL,NULL
Nsun6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL
Oaf,8,6,5,NULL,NULL,NULL,NULL,NULL,9,NULL,NULL,NULL
Ogfod1,NULL,NULL,NULL,22,NULL,NULL,NULL,NULL,17,14,NULL,NULL
Dnahc7a,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL
Dnahc7b,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL
Dok6,NULL,NULL,NULL,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8
Dus4l,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,22,NULL,NULL,NULL
Echdc2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL,NULL,NULL
Eepd1,7,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL
Ell3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL
Elmo3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL
Emr4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL
Engase,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,NULL,NULL
Eps8l2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,1,NULL,NULL,NULL
Eri2,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Fam101b,NULL,2,1,NULL,NULL,23,NULL,0,NULL,0,1,2
Fam117b,NULL,NULL,NULL,NULL,NULL,12,8,NULL,NULL,11,NULL,NULL
Fam155a,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL
Fam179b,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL,NULL
Fam195a,NULL,NULL,NULL,NULL,NULL,20,NULL,12,17,NULL,NULL,NULL
Fam43a,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL,NULL,NULL,NULL
Fam73b,NULL,10,11,NULL,NULL,21,NULL,NULL,17,23,22,NULL
Fam76a,10,12,12,NULL,NULL,NULL,NULL,NULL,NULL,12,12,11
0610007P08Rik,20,NULL,21,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL,NULL
0610037L13Rik,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1190005I06Rik,NULL,NULL,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1600029D21Rik,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16,NULL,NULL,NULL
1810019J16Rik,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL
1810030O07Rik,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
1810055G02Rik,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL,NULL
2310036O22Rik,23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
2810453I06Rik,NULL,NULL,22,21,NULL,0,NULL,22,NULL,NULL,NULL,NULL
4930432K21Rik,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL,NULL,NULL
4931414P19Rik,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19,NULL,NULL,NULL
5430435G22Rik,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL
5730559C18Rik,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL,NULL,NULL,NULL
Abca13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,NULL,NULL,NULL,NULL
Accs,NULL,NULL,NULL,NULL,NULL,NULL,5,7,NULL,NULL,NULL,9
Acoxl,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL
Acsf3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,2,NULL,NULL,NULL
Adamtsl5,NULL,15,NULL,NULL,NULL,20,NULL,NULL,NULL,14,NULL,NULL
Adat1,NULL,NULL,NULL,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Adck5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,1,NULL,NULL,NULL
Fbxl15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL,NULL,NULL
Fbxl21,23,NULL,NULL,NULL,NULL,NULL,NULL,8,1,NULL,NULL,7
Fibin,NULL,13,NULL,16,16,13,NULL,NULL,NULL,15,NULL,NULL
Fitm2,NULL,NULL,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Flrt1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL,NULL,NULL
Frmd5,NULL,NULL,NULL,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Frmpd1,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Galntl1,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL,23,NULL,NULL
Gmeb2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL
Gpbp1l1,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Gpr137,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL
Gpr146,7,8,NULL,6,NULL,9,NULL,NULL,8,10,NULL,NULL
Gpr18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL
Gramd2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL
Gtdc1,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Gtpbp8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,22,NULL,NULL,NULL
Haghl,NULL,NULL,NULL,NULL,10,NULL,6,NULL,NULL,NULL,NULL,NULL
Hdhd3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL
Heca,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,7,NULL,NULL,NULL
Heg1,NULL,NULL,8,NULL,NULL,NULL,NULL,18,NULL,NULL,NULL,NULL
Hint3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,20,NULL,NULL
Hist1h4h,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL
Hkdc1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19,NULL,NULL
Hs3st5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL
Cmtm7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL
Cnksr3,NULL,NULL,NULL,10,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
Crebl2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,12,18,NULL,NULL
Cuedc1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL
Cyp2b9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14,NULL,NULL
Cyp2g1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,NULL,NULL,NULL
D430042O09Rik,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,2,NULL,NULL,NULL
Dchs1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL
Ddx39,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL
Dennd4b,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL
AI597479,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Ajap1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL,NULL,NULL
Angel1,NULL,NULL,NULL,NULL,NULL,NULL,6,6,NULL,NULL,NULL,NULL
