gene_symbol,acrophase
Mycbp,8.0
Myef2,16.0
Myeov2,16.0
Myg1,8.0
Myl12a,16.0
Myst2,8.0
Mzt1,16.0
Naa10,8.0
Naa15,16.0
Naa16,0.0
Naa20,8.0
Naa38,8.0
Naa40,8.0
Naa50,8.0
Nabp2,16.0
Nae1,8.0
Nanp,8.0
Nans,8.0
Nap1l1,8.0
Nap1l4,0.0
Nars,16.0
Nasp,8.0
Nat15,8.0
Ncapd2,16.0
Ncapd3,8.0
Ncapg,16.0
Ncapg2,8.0
Ncaph,16.0
Ncaph2,8.0
Ncbp1,8.0
Ncbp2,8.0
Ncf4,0.0
Ncl,0.0
Ncln,8.0
Ncoa4,16.0
Ncs1,8.0
Ndc80,16.0
Nde1,16.0
Ndufa1,16.0
Ndufa10,8.0
Ndufa11,8.0
Ndufa12,8.0
Ndufa2,8.0
Ndufa3,8.0
Ndufa4,8.0
Ndufa5,16.0
Ndufa7,8.0
Ndufa8,8.0
Ndufa9,8.0
Ndufab1,8.0
Ndufaf1,0.0
Ndufaf2,8.0
Ndufaf3,16.0
Ndufaf4,0.0
Ndufb10,8.0
Ndufb11,8.0
Ndufb2,8.0
Ndufb3,8.0
Ndufb4,8.0
Ndufb5,16.0
Ndufb6,8.0
Ndufb7,8.0
Ndufb8,8.0
Ndufb9,8.0
Ndufc1,8.0
Ndufc2,16.0
Ndufs1,8.0
Ndufs2,16.0
Ndufs4,8.0
Ndufs5,8.0
Ndufs6,8.0
Ndufs7,8.0
Ndufs8,8.0
Ndufv1,8.0
Ndufv2,0.0
Ndufv3,16.0
Necap2,16.0
Nedd1,16.0
Nedd8,8.0
Nefh,8.0
Neil3,16.0
Nek2,16.0
Nfx1,8.0
Nfyb,16.0
Nfyc,16.0
Ngdn,16.0
Ngfrap1,8.0
Nhp2,8.0
Nhp2l1,8.0
Nif3l1,8.0
Ninj1,0.0
Nip7,8.0
Nipsnap3b,8.0
Nkap,16.0
Nkg7,8.0
Nmd3,0.0
Nme1,8.0
Nme2,8.0
Nme4,8.0
Nme6,8.0
Nmnat3,8.0
Nmral1,8.0
Nmt1,8.0
Noc4l,16.0
Nol12,16.0
Nol7,16.0
Nolc1,8.0
Nono,0.0
Nop10,8.0
Nop14,8.0
Nop16,8.0
Nop2,8.0
Nop56,0.0
Nop58,8.0
Nosip,8.0
Npat,0.0
Npepl1,8.0
Npl,16.0
Npm1,8.0
Nptn,8.0
Nr0b2,8.0
Nr2c2ap,0.0
Nr3c1,8.0
Nrf1,16.0
Nrm,8.0
Nsg1,8.0
Nsl1,8.0
Nsmce1,16.0
Nsmce2,0.0
Nsun5,8.0
Nt5c,8.0
Nt5c3l,8.0
Nubp1,8.0
Nubp2,8.0
Nucks1,16.0
Nudc,8.0
Nudcd2,8.0
Nudt1,16.0
Nudt14,8.0
Nudt2,8.0
Nudt21,8.0
Nudt5,8.0
Nuf2,16.0
Nup107,8.0
Nup133,8.0
Nup155,8.0
Nup160,8.0
Nup188,8.0
Nup205,16.0
Nup210,16.0
Nup214,16.0
Nup35,16.0
Nup37,16.0
